ts_utc,h1_bar_utc,h4_bar_close_utc,pair,h1_state,h1_dir,h1_gap_h4,h1_down_run,h4_bias,h4_tipo,h4_stato,h4_score,h4_spread,h4_event
2026-06-16T18:05:44+00:00,2026-06-16T17:00:00+00:00,2026-06-16T17:00:00+00:00,EURCAD,-,,,,LONG,RESUME,ATTIVO,78,1.4,
2026-06-16T18:05:44+00:00,2026-06-16T17:00:00+00:00,2026-06-16T17:00:00+00:00,EURGBP,-,,,,LONG,RESUME,ATTIVO,96,1.24,
2026-06-16T18:05:44+00:00,2026-06-16T17:00:00+00:00,2026-06-16T17:00:00+00:00,EURJPY,RIPRESA,LONG,2.09,0,-,-,NESSUNO,72,2.09,
2026-06-16T18:05:44+00:00,2026-06-16T17:00:00+00:00,2026-06-16T17:00:00+00:00,NZDCHF,-,,,,SHORT,RESUME,ATTIVO,69,1.43,
2026-06-16T19:06:00+00:00,2026-06-16T18:00:00+00:00,2026-06-16T17:00:00+00:00,AUDCAD,-,,,,LONG,RESUME,ATTIVO,100,1.21,
2026-06-16T19:06:00+00:00,2026-06-16T18:00:00+00:00,2026-06-16T17:00:00+00:00,AUDJPY,RIENTRO,LONG,1.9004,4,LONG,RESUME,ESTESO,100,1.9,
2026-06-16T19:06:00+00:00,2026-06-16T18:00:00+00:00,2026-06-16T17:00:00+00:00,AUDUSD,RIPRESA,LONG,1.5893,0,LONG,RESUME,ESTESO,100,1.59,
2026-06-16T19:06:00+00:00,2026-06-16T18:00:00+00:00,2026-06-16T17:00:00+00:00,CADCHF,-,,,,SHORT,RESUME,ATTIVO,100,2.21,
2026-06-16T19:06:00+00:00,2026-06-16T18:00:00+00:00,2026-06-16T17:00:00+00:00,CHFJPY,RIENTRO,LONG,2.8997,3,-,-,NESSUNO,100,2.9,
2026-06-16T19:06:00+00:00,2026-06-16T18:00:00+00:00,2026-06-16T17:00:00+00:00,EURCAD,-,,,,LONG,RESUME,ATTIVO,78,1.4,
2026-06-16T19:06:00+00:00,2026-06-16T18:00:00+00:00,2026-06-16T17:00:00+00:00,EURGBP,-,,,,LONG,RESUME,ATTIVO,96,1.24,
2026-06-16T19:06:00+00:00,2026-06-16T18:00:00+00:00,2026-06-16T17:00:00+00:00,EURUSD,RIENTRO,LONG,1.7789,3,-,-,NESSUNO,66,1.78,
2026-06-16T19:06:00+00:00,2026-06-16T18:00:00+00:00,2026-06-16T17:00:00+00:00,GBPAUD,RIPRESA,SHORT,-1.0484,0,-,-,NESSUNO,21,1.05,
2026-06-16T19:06:00+00:00,2026-06-16T18:00:00+00:00,2026-06-16T17:00:00+00:00,NZDCHF,-,,,,SHORT,RESUME,ATTIVO,69,1.43,
2026-06-16T19:06:00+00:00,2026-06-16T18:00:00+00:00,2026-06-16T17:00:00+00:00,NZDUSD,RIENTRO,LONG,1.1588,3,-,-,NESSUNO,68,1.16,
2026-06-16T20:05:39+00:00,2026-06-16T19:00:00+00:00,2026-06-16T17:00:00+00:00,AUDCAD,-,,,,LONG,RESUME,ATTIVO,100,1.21,
